0	88.2
0.00454	40.9
0	13.8
0	0
0	1.13
0.00545	121
0	0
0.00569	0
0.00366	92
0.000242	15
0	0
0	6.81
0.00163	60.4
0.0015	0
0.000552	9.96
0.00055	0
0	22
0	66.1
0.00211	0
0.00201	1.13
0.00151	0
0	0
7.59e-05	0
7.59e-05	0
0.00162	3.02
0	21.3
0.000198	3.65
0	2.39
0	1.13
0	0
9.8e-05	0
0.000124	22.6
0.00556	0
0	0
0	0
0	0
0	0
0.00201	0
0.00427	0
0	35.8
0	194
0	0
0.000357	0
0	23.8
0.00353	0
0.00445	6.81
0	35.2
0.0869	0
0.0017	16.9
0.0338	0
0.105	0
0.126	0
0	9.96
0.101	0
0	4.29
0.00014	0
0	59.2
0.00666	60.4
0	5.55
0.000236	21.3
0.00241	12.5
0	6.18
0.000243	3.02
0.00141	0
0.00654	39
0	0
0.000803	0
0.0126	127
0	0
0.000885	27.6
0.00537	0
0	14.4
0.000716	92
0.000436	0
0.00296	0
0	2.39
0.00245	13.1
0	0
0	0
0	20.7
0	3.02
0.00465	0
0	29.5
0.000389	57.9
0	47.2
0.000432	127
0.000193	0
0	13.1
0	0
0	0
0	0
0.00143	0
0	6.81
0	20.1
0	0
0.000136	5.55
0	3.02
0	5.55
0.0287	0
0.0272	0
0.00906	0
0	0
0.00118	0
0.0783	0
0.0297	0
0.135	0
0	0
0	0
0.0133	0
0.00372	0
0.0714	0
0.0993	0
0.0662	0
0.0662	0
0.00441	12.5
0.0175	0
0	348
0.0868	0
0.00512	0
0	0
0	0
0.000561	9.96
0	0
0	0
0	0
0	0
0.00147	68.6
0	0
0.000107	9.96
0	0
0.00245	0
0.00565	0
0.00259	0
0.000224	41.5
0	0
0.0022	23.8
0	142
0.00235	16.3
0	61.1
0	69.9
0	16.9
0	76.8
0	22.6
0.00315	0
0	28.3
0	140
0	7.31
0.00265	0
0.00147	0
0.00561	13.1
0.000544	0
0	1.13
0	30.8
0.00109	0
0.000255	12.5
0	39
9.64e-05	73.1
0	18.8
0.000989	0
0.00384	0
0	0
0	7.31
0	16.3
0	18.8
0.00192	6.81
0	20.7
0.00209	56
0	0
0	0
0.00281	1.13
0.00727	1.13
0.00235	3.02
0	0
0	114
0	0
0.000482	15
0.00686	0
0.000811	0
0	0
0	0
0.000825	16.3
0.00093	0
0	32
0	0
0	0
0.000731	0
0.00119	16.3
0	12.5
0	26.4
0.000146	0
0	0
0	0
0.00576	34.6
0.0041	19.4
0	13.1
0	32
0	16.3
0.0863	0
0.0646	0
0	0
0.135	0
0.0278	0
0.0177	0
0.0232	0
0	8.07
0.156	1.13
0.103	0
0.106	0
0.16	0
0	0
0	5.55
0.000331	0
0.00983	0
0	29.5
0	1.13
0.111	0
0.000567	5.55
0.000295	0
0	0
0.000993	0
0.114	0
0.000924	1.76
0	37.1
0.00205	26.4
0	1.13
0.00434	47.8
0.00373	58.5
0	22
0.00092	15
0	49.1
0.124	0
0.102	0
0	0
0	0
0	17.5
0	6.18
0	25.7
0.00433	9.96
0.0781	0
0.0227	48.5
0.00223	0
0	15
0.00119	6.81
0	0
0.0795	0
0	0
0.13	0
0.000354	76.2
0.00196	0
0	19.4
0.00373	0
0.00423	0
0.0076	0
0.00159	44.7
0	4.92
0.00054	3.65
0.000833	0
0.000952	0
0	32.7
0.0411	0
0	0
0.0013	12.5
0	37.7
0	0
0.000808	35.2
0.00377	0
0.00042	0
0.000152	46.5
0.00918	1.13
0.00106	0
0	57.3
0.000725	6.18
0	9.33
0.00347	0
0.00667	6.18
0.00192	31.4
0.00231	4.29
0	3.02
0.00317	0
0.00118	0
0.00275	0
0.000454	4.15
0	22.6
0.00154	6.18
0.132	0
0	23.2
0	1.13
0.13	0
0	11.7
0	1.13
0.000854	1.13
0.00733	0
0.0484	0
0.00208	16.3
0.000335	0
0.00324	59.2
0	547
0	25.1
0	17.5
0.00124	0
0.00611	8.7
0.0028	0
0	23.8
0.00226	3.02
0	29.5
0	6.18
0.000651	20.1
0	0
0	39.6
0.000188	21.3
0.00381	0
0.00369	0
0	1.13
0	309
0.000647	9.96
0	0
0.00276	18.2
0.139	0
0	11.9
0	40.2
0	8.7
0.103	0
0.0802	0
0.00276	31.4
0	0
0	26.4
0.00122	16.1
0	57.9
0.0884	0
0	8.7
0	19.4
0	0
0	18.2
0.000428	83.2
0	4.15
0	1.76
0.000649	0
0.000197	0
0.00168	32
0.000411	40.2
0	3.02
0.00119	9.96
0	0
0	12.5
0	28.3
0	0
0.000936	0
0.000243	1.76
0	0
0	0
0.00272	0
0	40.2
0	0
0	0
0.00254	39.6
0	2.39
0.000151	4.92
