CpGI_1	0.00193
CpGI_2	0.000155
CpGI_3	0.0151
CpGI_4	0.000601
CpGI_5	0
CpGI_6	0.000664
CpGI_7	0.000317
CpGI_8	0.00343
CpGI_9	0
CpGI_10	0.000612
CpGI_11	0
CpGI_12	0.00144
CpGI_13	7.38e-05
CpGI_14	0
CpGI_15	0
CpGI_16	0
CpGI_17	0
CpGI_18	0.0308
CpGI_19	0
CpGI_20	0.00836
CpGI_21	0.00379
CpGI_22	0
CpGI_23	0
CpGI_24	0
CpGI_25	0.00183
CpGI_26	0
CpGI_27	0.00017
CpGI_28	0.00144
CpGI_29	0.00126
CpGI_30	0
CpGI_31	0.000332
CpGI_32	0
CpGI_33	0.000691
CpGI_34	0.000311
CpGI_35	0.000517
CpGI_36	0
CpGI_37	0
CpGI_38	0.00797
CpGI_39	0.00125
CpGI_40	0
CpGI_41	0.000697
CpGI_42	0
CpGI_43	0.00198
CpGI_44	0
CpGI_45	0.000355
CpGI_46	0
CpGI_47	0
CpGI_48	0
CpGI_49	0.00361
CpGI_50	0
CpGI_51	0
CpGI_52	0.000186
CpGI_53	0
CpGI_54	0
CpGI_55	0
CpGI_56	0.00454
CpGI_57	0
CpGI_58	0
CpGI_59	0
CpGI_60	0.0173
CpGI_61	0
CpGI_62	0
CpGI_63	0.0699
CpGI_64	0.0423
CpGI_65	0.00142
CpGI_66	0
CpGI_67	0.00312
CpGI_68	0
CpGI_69	0.000412
CpGI_70	0
CpGI_71	0.000242
CpGI_72	0.000399
CpGI_73	0
CpGI_74	0
CpGI_75	0
CpGI_76	0
CpGI_77	0
CpGI_78	0.00723
CpGI_79	0.000794
CpGI_80	0
CpGI_81	0.00014
CpGI_82	0.00119
CpGI_83	0.0015
CpGI_84	0.00605
CpGI_85	0.00426
CpGI_86	0.00629
CpGI_87	0
CpGI_88	0
CpGI_89	0.000521
CpGI_90	0.0015
CpGI_91	0
CpGI_92	0
CpGI_93	0.00141
CpGI_94	0
CpGI_95	0
CpGI_96	0.00315
CpGI_97	0.000541
CpGI_98	0
CpGI_99	0.00501
CpGI_100	0
CpGI_101	0.00315
CpGI_102	0.000455
CpGI_103	0
CpGI_104	0
CpGI_105	0.000932
CpGI_106	0.00231
CpGI_107	0.00209
CpGI_108	0
CpGI_109	0
CpGI_110	0
CpGI_111	0.00103
CpGI_112	0
CpGI_113	0.00512
CpGI_114	0
CpGI_115	0.00411
